Tahun,Emas Moneter,Special Drawing Rights (SDRs),Reserve Posotion in the Fund (RPF),Uang Kertas Asing (UKA) dan Simpanan,Surat Berharga,Tagihan Lainnya
2005,1583,7,208,5906,26868,151
2006,1483,18,219,15119,25577,169
2007,1946,9,228,21868,32688,182
2008,2041,34,225,3687,45476,175
2009,2552,2753,227,3269,57100,203
2010,3299,2714,224,6772,82979,219
2011,3593,2696,223,12585,90795,231
2012,3935,2715,224,22044,83299,564
2013,3023,2712,224,19204,73669,555
2014,3027,2551,211,19477,86027,569
2015,2661,2442,202,12086,87986,554
2016,2876,1499,1056,11388,98953,590
2017,3346,1588,1119,9114.56,114449.98,579
2018,3230,1553,1096,12548.67,101655.78,571
2019,3844,1542,1090,10326.1,111748.33,633
2020,4758,1605,1135,10385,117324,689
2021,4595,7795,1110,12391.55,118341.75,671.79
2022,4589,7411,1055,16411.63,107162.04,604.48
2023,5234,7464,1064,35790.79,96191.78,638.62
